paper,mutation operators
Smith and Williams\cite{smith2009should},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, constant, return statement, switch statement, OO-specific, Java-specific, program"
Staats et al.\cite{staats2012oracle},"arithmetic op, conditional op, relational op, method call, program"
Stephan and Cordy\cite{stephan2014model},specification
Tan and Edwards\cite{tan2008evaluating},"arithmetic op, relational op, conditional op, conditional exp, statement deletion, program"
Tasiran et al.\cite{tasiran2012location},"concurrent mutation, program"
Tuya et al.\cite{tuya2010full} ,"arithmetic op, conditional op, relational op, absolute value, constant, variable, SQL-specific, program"
Vergilio et al.\cite{vergilio2006constraint},"bomb statement, conditional exp, statement deletion, return statement, goto label, control-flow disruption, while statement, do statement, loop trap, statement swap, brace, switch statement, arithmetic op, bitwise op, conditional op, shift op, relational op, assignment op, parentheses, type, variable, constant, program"
von Mayrhauser et al.\cite{von2000planner},specification
Wang et al.\cite{wang2010correlating},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, absolute value,OO-specific, Java-specific, program"
Watanabe and Sakamura\cite{watanabe1996specification},"relational op, constant, method call, program"
Weyuker et al.\cite{weyuker1994automatically},specification
Xie et al.\cite{xie2011testing},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, program"
Xu and Ding\cite{xu2010prioritizing},"AOP-specific, program"
Xu et al.\cite{xu2012testing},specification
Xuan and Monperrus\cite{xuan2014test} ,"arithmetic op, shift op, bitwise op, return statement, conditional op, assignment op, program"
Yoo and Harman\cite{yoo2012test},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, program"
Yoon and Choi\cite{yoon2004effective},"interface mutation, program"
Zhang and Mesbah\cite{zhang2015assertions} ,"relational op, arithmetic op, shift op, bitwise op, conditional op, assignment op, return statement, statement deletion, program"
Zhang et al.\cite{zhang2009time},"constant, conditional exp, program"
Zhang et al.\cite{zhang2010test} ,"absolute value, arithmetic op, conditional op, relational op, program"
Zhang et al.\cite{zhang2011empirical} ,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, program"
Zhou and Frankl\cite{zhou2011jdama} ,"arithmetic op, conditional op, relational op, absolute value, constant, variable, SQL-specific, program"
Offutt et al.\cite{offutt1995procedures},"constant, variable, arithmetic op, relational op, conditional op, statement deletion, return statement, goto label, do statement, bomb statement, absolute value, program"
Rojas et al.\cite{rojas2015combining},"arithmetic op, relational op, constant, variable, conditional op, statement deletion, OO-specific, bitwise op, program"
Dadeau et al.\cite{dadeau2011mutation},specification
Polo et al.\cite{polo2007integrating},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,absolute value,OO-specific, Java-specific, program"
Flores and Polo\cite{flores2012testing},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, Interface mutation, program"
Vincenzi et al.\cite{vincenzi2001unit},"bomb statement, conditional exp, statement deletion, return statement, goto label, control-flow disruption, while statement, do statement, loop trap, statement swap, brace, switch statement, arithmetic op, bitwise op, conditional op, shift op, relational op, assignment op, parentheses, type, variable, constant, interface mutation, program"
Mariani et al.\cite{mariani2007compatibility},"interface mutation, program"
Edwards\cite{edwards2001framework},"absolute value, arithmetic op, conditional op, relational op, program"
Flores and Polo\cite{flores2008testing},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, Interface mutation, program"
Carzaniga et al.\cite{carzaniga2013automatic},"arithmetic op, conditional op, relational op,assignment op, bitwise op, shift op, constant, variable, absolute value, conditional exp, statement deletion, method call, return statement, control-flow disruption, program"
Xue and Namin\cite{xue2013significant},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, program"
Carzaniga et al.\cite{carzaniga2014cross},"arithmetic op, conditional op, relational op,assignment op, bitwise op, shift op, constant, variable, absolute value, conditional exp, statement deletion, method call, return statement, control-flow disruption, program"
Wedyan et al.\cite{wedyan2015approach},"AOP-specific, program"
Murphy et al.\cite{murphy2009automatic},"arithmetic op, relational op, program"
Pastore et al.\cite{pastore2013crowdoracles},"absolute value, arithmetic op, conditional op, relational op, program"
El-Fakih et al.\cite{el2014studying},specification
Vemasani et al.\cite{vemasani2014generating},"arithmetic op, conditional op, relational op, absolute value, constant, variable, SQL-specific, program"
Riener et al.\cite{riener2011test},"arithmetic op, relational op, bitwise op, constant"
Just and Schweiggert\cite{just2009evaluating},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, program"
Bradbury et al.\cite{bradbury2007comparative},"concurrent mutation, program"
Poulding and Clark\cite{poulding2010efficient},"interface mutation, program"
Gallardo et al.\cite{gallardo2006assessment},"arithmetic op, constant, program"
